,name,homepage,resource,description,projectrank,show,category,github_id,labels,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank_placing,license,trending
0,zipapp — Manage executable Python zip archives,https://docs.python.org/3/library/zipapp.html,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
1,Why it's so hard to redistribute standalone Python apps,https://www.youtube.com/watch?v=3BfGAYfKZIg,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
2,How to use the Python embeddable redistribution to make standalone apps,https://www.youtube.com/watch?v=xiwdz2LAtGc,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
3,pyinstaller,https://github.com/pyinstaller/pyinstaller,,Freeze (package) Python programs into stand-alone executables.,39,True,miscellaneous,pyinstaller/pyinstaller,['written-in-c'],https://github.com/pyinstaller/pyinstaller,2011-11-23 11:05:56,2026-04-12 16:39:03,2026-04-12 16:39:01,9970.0,68.0,1921.0,222.0,2690.0,272.0,5340.0,12958.0,2026-02-14 18:07:36,6.19.0,753374.0,4989.0,79.0,87694.0,87694.0,492.0,1.0,,
4,nuitka,https://github.com/Nuitka/Nuitka,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",30,True,miscellaneous,Nuitka/Nuitka,"['written-in-c', 'written-in-python']",https://github.com/Nuitka/Nuitka,2013-04-23 15:40:33,2026-04-16 19:08:44,2026-04-11 08:09:46,14646.0,678.0,757.0,136.0,541.0,191.0,2605.0,14735.0,,,,,,3744.0,3744.0,208.0,1.0,AGPL-3.0,
5,briefcase,https://github.com/beeware/briefcase,,Tools to support converting a Python project into a standalone native application.,30,True,miscellaneous,beeware/briefcase,['written-in-python'],https://github.com/beeware/briefcase,2015-07-28 15:20:03,2026-04-16 05:54:15,2026-04-15 10:50:11,5151.0,116.0,478.0,46.0,1606.0,164.0,836.0,3255.0,2026-03-09 04:31:21,0.4.1,1110.0,14.0,39.0,857.0,857.0,201.0,1.0,BSD-3-Clause,
6,pex,https://github.com/pex-tool/pex,,"A tool for generating .pex (Python EXecutable) files, lock files and venvs.",29,True,miscellaneous,pex-tool/pex,['written-in-python'],https://github.com/pex-tool/pex,2014-07-21 17:06:12,2026-04-15 19:34:49,2026-04-15 19:34:49,1994.0,46.0,306.0,52.0,1690.0,54.0,1177.0,4204.0,2026-04-15 15:01:27,2.92.3,358403.0,44800.0,100.0,,,127.0,2.0,Apache-2.0,
7,PyOxidizer,https://github.com/indygreg/PyOxidizer,,A modern Python application packaging and distribution tool.,24,False,miscellaneous,indygreg/PyOxidizer,['written-in-rust'],https://github.com/indygreg/PyOxidizer,2018-12-18 23:32:13,2024-12-24 01:04:30,2024-11-03 22:09:40,6749.0,,253.0,59.0,137.0,336.0,237.0,6097.0,2022-12-30 01:38:05,pyoxidizer/0.24.0,27362.0,364.0,22.0,158.0,158.0,54.0,2.0,MPL-2.0,
8,cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,,Creates standalone executables from Python scripts with the same performance as the original script. It is cross-..,22,True,miscellaneous,marcelotduarte/cx_Freeze,['written-in-python'],https://github.com/marcelotduarte/cx_Freeze,2017-01-22 04:25:52,2026-04-15 04:37:29,2026-04-14 22:11:52,2678.0,56.0,235.0,26.0,2061.0,41.0,1026.0,1539.0,2026-04-13 05:59:38,8.6.4,,,100.0,,,125.0,3.0,,
9,py2exe,https://github.com/py2exe/py2exe,,Create standalone Windows programs from Python code.,22,True,miscellaneous,py2exe/py2exe,"['written-in-c', 'written-in-python']",https://github.com/py2exe/py2exe,2019-03-11 13:16:35,2025-07-21 21:47:21,2025-07-15 21:35:24,1113.0,,106.0,31.0,41.0,21.0,168.0,994.0,2025-07-15 22:01:38,0.14.0.0,24915.0,293.0,20.0,2243.0,2243.0,24.0,3.0,,
10,pyapp,https://github.com/ofek/pyapp,,Runtime installer for Python applications.,20,True,miscellaneous,ofek/pyapp,['written-in-rust'],https://github.com/ofek/pyapp,2023-05-07 20:56:04,2026-03-01 09:43:54,2025-10-15 07:12:11,184.0,,56.0,9.0,147.0,27.0,41.0,1960.0,2025-10-15 06:39:23,0.29.0,106669.0,3047.0,34.0,63.0,63.0,12.0,3.0,,
11,shiv,https://github.com/linkedin/shiv,,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",18,True,miscellaneous,linkedin/shiv,['written-in-python'],https://github.com/linkedin/shiv,2018-03-13 18:46:23,2026-01-10 12:19:00,2026-01-10 12:19:00,219.0,,109.0,27.0,137.0,50.0,82.0,1928.0,2024-11-01 19:48:43,1.0.8,2652.0,32.0,23.0,,,44.0,3.0,BSD-2-Clause,1.0
12,PyStand,https://github.com/skywind3000/PyStand,,Python Standalone Deploy Environment !!.,16,True,miscellaneous,skywind3000/PyStand,['written-in-cpp'],https://github.com/skywind3000/PyStand,2022-02-03 15:13:51,2025-04-09 06:30:56,2025-04-09 06:30:56,91.0,,142.0,15.0,19.0,40.0,51.0,1194.0,2025-03-31 02:30:48,1.1.5,16166.0,323.0,13.0,,,5.0,3.0,MIT,
13,PyCrucible,https://github.com/razorblade23/PyCrucible,,"A robust, cross-platform builder and launcher for Python apps using UV. Built with Rust.",15,True,miscellaneous,razorblade23/PyCrucible,['written-in-rust'],https://github.com/razorblade23/PyCrucible,2025-03-19 11:52:02,2026-04-13 18:04:06,2026-04-13 18:04:06,283.0,20.0,6.0,7.0,24.0,7.0,28.0,193.0,2026-03-22 08:09:57,0.4.6-fix1,317.0,24.0,48.0,2.0,2.0,4.0,3.0,,
14,uvbox,https://github.com/AmadeusITGroup/uvbox,,"Fast, simple and cross-platform Python application packaging.",11,True,miscellaneous,AmadeusITGroup/uvbox,['written-in-go'],https://github.com/AmadeusITGroup/uvbox,2025-07-11 14:19:55,2026-04-12 20:10:37,2026-04-12 19:56:24,23.0,5.0,2.0,2.0,21.0,2.0,4.0,51.0,2026-01-09 15:30:28,1.0.6,218.0,36.0,7.0,,,3.0,3.0,MIT,3.0
15,packaged,https://github.com/tusharsadhwani/packaged,,The easiest way to ship python applications.,10,False,miscellaneous,tusharsadhwani/packaged,['written-in-python'],https://github.com/tusharsadhwani/packaged,2024-05-08 21:46:44,2024-11-28 21:45:16,2024-11-28 21:45:13,68.0,,8.0,4.0,13.0,4.0,7.0,203.0,2024-06-19 19:23:24,0.6.1,821.0,35.0,10.0,,,2.0,3.0,GPL-2.0,
