,name,homepage,resource,description,projectrank,show,category,github_id,labels,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank_placing,license
0,zipapp — Manage executable Python zip archives,https://docs.python.org/3/library/zipapp.html,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,
1,Why it's so hard to redistribute standalone Python apps,https://www.youtube.com/watch?v=3BfGAYfKZIg,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,
2,How to use the Python embeddable redistribution to make standalone apps,https://www.youtube.com/watch?v=xiwdz2LAtGc,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,
3,pyinstaller,https://github.com/pyinstaller/pyinstaller,,Freeze (package) Python programs into stand-alone executables.,39,False,miscellaneous,pyinstaller/pyinstaller,['written-in-c'],https://github.com/pyinstaller/pyinstaller,2011-11-23 11:05:56,2026-03-08 17:11:54,2026-03-08 17:11:53,9940.0,56.0,1914.0,222.0,2675.0,272.0,5330.0,12916.0,2026-02-14 18:07:36,6.19.0,753025.0,5020.0,79.0,86992.0,86992.0,490.0,1.0,
4,nuitka,https://github.com/Nuitka/Nuitka,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",30,True,miscellaneous,Nuitka/Nuitka,"['written-in-c', 'written-in-python']",https://github.com/Nuitka/Nuitka,2013-04-23 15:40:33,2026-03-12 14:46:10,2026-03-12 13:05:42,14533.0,565.0,755.0,135.0,523.0,178.0,2596.0,14634.0,,,,,,3672.0,3672.0,206.0,1.0,AGPL-3.0
5,pex,https://github.com/pex-tool/pex,,"A tool for generating .pex (Python EXecutable) files, lock files and venvs.",29,True,miscellaneous,pex-tool/pex,['written-in-python'],https://github.com/pex-tool/pex,2014-07-21 17:06:12,2026-03-12 03:50:51,2026-03-12 03:50:51,1978.0,59.0,304.0,52.0,1671.0,53.0,1168.0,4200.0,2026-03-10 21:16:20,2.91.1,274847.0,34355.0,100.0,,,125.0,2.0,Apache-2.0
6,briefcase,https://github.com/beeware/briefcase,,Tools to support converting a Python project into a standalone native application.,29,True,miscellaneous,beeware/briefcase,['written-in-python'],https://github.com/beeware/briefcase,2015-07-28 15:20:03,2026-03-09 04:54:01,2026-03-09 04:54:01,5101.0,85.0,475.0,46.0,1555.0,170.0,817.0,3232.0,2026-03-09 04:31:21,0.4.1,1078.0,14.0,39.0,850.0,850.0,197.0,2.0,BSD-3-Clause
7,PyOxidizer,https://github.com/indygreg/PyOxidizer,,A modern Python application packaging and distribution tool.,24,False,miscellaneous,indygreg/PyOxidizer,['written-in-rust'],https://github.com/indygreg/PyOxidizer,2018-12-18 23:32:13,2024-12-24 01:04:30,2024-11-03 22:09:40,6749.0,,251.0,61.0,137.0,335.0,236.0,6078.0,2022-12-30 01:38:05,pyoxidizer/0.24.0,27010.0,365.0,22.0,157.0,157.0,54.0,2.0,MPL-2.0
8,cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,,Creates standalone executables from Python scripts with the same performance as the original script. It is cross-..,22,False,miscellaneous,marcelotduarte/cx_Freeze,['written-in-python'],https://github.com/marcelotduarte/cx_Freeze,2017-01-22 04:25:52,2026-03-12 02:37:04,2026-03-09 21:41:49,2653.0,60.0,235.0,27.0,2036.0,40.0,1022.0,1531.0,2026-02-20 06:03:35,8.6.0,,,96.0,,,125.0,3.0,
9,py2exe,https://github.com/py2exe/py2exe,,Create standalone Windows programs from Python code.,22,False,miscellaneous,py2exe/py2exe,"['written-in-c', 'written-in-python']",https://github.com/py2exe/py2exe,2019-03-11 13:16:35,2025-07-21 21:47:21,2025-07-15 21:35:24,1113.0,,105.0,31.0,41.0,28.0,160.0,995.0,2025-07-15 22:01:38,0.14.0.0,24707.0,294.0,20.0,2239.0,2239.0,24.0,3.0,
10,pyapp,https://github.com/ofek/pyapp,,Runtime installer for Python applications.,21,False,miscellaneous,ofek/pyapp,['written-in-rust'],https://github.com/ofek/pyapp,2023-05-07 20:56:04,2026-03-01 09:43:54,2025-10-15 07:12:11,184.0,,55.0,9.0,147.0,26.0,41.0,1943.0,2025-10-15 06:39:23,0.29.0,101861.0,2995.0,34.0,63.0,63.0,12.0,3.0,
11,shiv,https://github.com/linkedin/shiv,,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",18,True,miscellaneous,linkedin/shiv,['written-in-python'],https://github.com/linkedin/shiv,2018-03-13 18:46:23,2026-01-10 12:19:00,2026-01-10 12:19:00,219.0,1.0,108.0,27.0,137.0,50.0,82.0,1918.0,2024-11-01 19:48:43,1.0.8,2603.0,32.0,23.0,,,44.0,3.0,BSD-2-Clause
12,PyStand,https://github.com/skywind3000/PyStand,,Python Standalone Deploy Environment !!.,16,True,miscellaneous,skywind3000/PyStand,['written-in-cpp'],https://github.com/skywind3000/PyStand,2022-02-03 15:13:51,2025-04-09 06:30:56,2025-04-09 06:30:56,91.0,,140.0,14.0,19.0,40.0,51.0,1189.0,2025-03-31 02:30:48,1.1.5,16007.0,326.0,13.0,,,5.0,3.0,MIT
13,PyCrucible,https://github.com/razorblade23/PyCrucible,,"A robust, cross-platform builder and launcher for Python apps using UV. Built with Rust.",15,False,miscellaneous,razorblade23/PyCrucible,['written-in-rust'],https://github.com/razorblade23/PyCrucible,2025-03-19 11:52:02,2026-03-12 17:02:33,2026-03-12 17:02:32,276.0,21.0,6.0,7.0,24.0,7.0,27.0,191.0,2026-02-26 23:20:50,0.4.4,284.0,23.0,45.0,2.0,2.0,4.0,3.0,
14,packaged,https://github.com/tusharsadhwani/packaged,,The easiest way to ship python applications.,10,False,miscellaneous,tusharsadhwani/packaged,['written-in-python'],https://github.com/tusharsadhwani/packaged,2024-05-08 21:46:44,2024-11-28 21:45:16,2024-11-28 21:45:13,68.0,,8.0,4.0,13.0,4.0,7.0,203.0,2024-06-19 19:23:24,0.6.1,816.0,37.0,10.0,,,2.0,3.0,GPL-2.0
